,Name,Age,Height,Weight,Team,Sex,NOC,Games,Year,Season,City,Sport,Event,Medal
3,Edgar Lindenau Aabye,34.0,0.0,0.0,Denmark/Sweden,M,DEN,1900 Summer,1900,Summer,Paris,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Gold
37,Arvo Ossian Aaltonen,30.0,0.0,0.0,Finland,M,FIN,1920 Summer,1920,Summer,Antwerpen,Swimming,Swimming Men's 200 metres Breaststroke,Bronze
38,Arvo Ossian Aaltonen,30.0,0.0,0.0,Finland,M,FIN,1920 Summer,1920,Summer,Antwerpen,Swimming,Swimming Men's 400 metres Breaststroke,Bronze
40,Juhamatti Tapio Aaltonen,28.0,184.0,85.0,Finland,M,FIN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
41,Paavo Johannes Aaltonen,28.0,175.0,64.0,Finland,M,FIN,1948 Summer,1948,Summer,London,Gymnastics,Gymnastics Men's Individual All-Around,Bronze
42,Paavo Johannes Aaltonen,28.0,175.0,64.0,Finland,M,FIN,1948 Summer,1948,Summer,London,Gymnastics,Gymnastics Men's Team All-Around,Gold
44,Paavo Johannes Aaltonen,28.0,175.0,64.0,Finland,M,FIN,1948 Summer,1948,Summer,London,Gymnastics,Gymnastics Men's Horse Vault,Gold
48,Paavo Johannes Aaltonen,28.0,175.0,64.0,Finland,M,FIN,1948 Summer,1948,Summer,London,Gymnastics,Gymnastics Men's Pommelled Horse,Gold
50,Paavo Johannes Aaltonen,32.0,175.0,64.0,Finland,M,FIN,1952 Summer,1952,Summer,Helsinki,Gymnastics,Gymnastics Men's Team All-Around,Bronze
60,Kjetil Andr Aamodt,20.0,176.0,85.0,Norway,M,NOR,1992 Winter,1992,Winter,Albertville,Alpine Skiing,Alpine Skiing Men's Super G,Gold
61,Kjetil Andr Aamodt,20.0,176.0,85.0,Norway,M,NOR,1992 Winter,1992,Winter,Albertville,Alpine Skiing,Alpine Skiing Men's Giant Slalom,Bronze
63,Kjetil Andr Aamodt,22.0,176.0,85.0,Norway,M,NOR,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing,Alpine Skiing Men's Downhill,Silver
64,Kjetil Andr Aamodt,22.0,176.0,85.0,Norway,M,NOR,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing,Alpine Skiing Men's Super G,Bronze
67,Kjetil Andr Aamodt,22.0,176.0,85.0,Norway,M,NOR,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing,Alpine Skiing Men's Combined,Silver
73,Kjetil Andr Aamodt,30.0,176.0,85.0,Norway,M,NOR,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Men's Super G,Gold
76,Kjetil Andr Aamodt,30.0,176.0,85.0,Norway,M,NOR,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Men's Combined,Gold
78,Kjetil Andr Aamodt,34.0,176.0,85.0,Norway,M,NOR,2006 Winter,2006,Winter,Torino,Alpine Skiing,Alpine Skiing Men's Super G,Gold
79,Ragnhild Margrethe Aamodt,27.0,163.0,0.0,Norway,F,NOR,2008 Summer,2008,Summer,Beijing,Handball,Handball Women's Handball,Gold
86,Alf Lied Aanning,24.0,0.0,0.0,Norway,M,NOR,1920 Summer,1920,Summer,Antwerpen,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Silver
91,Willemien Aardenburg,22.0,0.0,0.0,Netherlands,F,NED,1988 Summer,1988,Summer,Seoul,Hockey,Hockey Women's Hockey,Bronze
92,Pepijn Aardewijn,26.0,189.0,72.0,Netherlands,M,NED,1996 Summer,1996,Summer,Atlanta,Rowing,Rowing Men's Lightweight Double Sculls,Silver
105,Ann Kristin Aarnes,23.0,182.0,64.0,Norway,F,NOR,1996 Summer,1996,Summer,Atlanta,Football,Football Women's Football,Bronze
106,Karl Jan Aas,20.0,0.0,0.0,Norway,M,NOR,1920 Summer,1920,Summer,Antwerpen,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Silver
110,Roald Edgar Aas,23.0,0.0,0.0,Norway,M,NOR,1952 Winter,1952,Winter,Oslo,Speed Skating,"Speed Skating Men's 1,500 metres",Bronze
113,Roald Edgar Aas,31.0,0.0,0.0,Norway,M,NOR,1960 Winter,1960,Winter,Squaw Valley,Speed Skating,"Speed Skating Men's 1,500 metres",Gold
117,Thomas Valentin Aas,25.0,0.0,0.0,Taifun,M,NOR,1912 Summer,1912,Summer,Stockholm,Sailing,Sailing Mixed 8 metres,Gold
150,Ren Abadie,21.0,0.0,0.0,France,M,FRA,1956 Summer,1956,Summer,Melbourne,Cycling,"Cycling Men's Road Race, Team",Gold
158,Giovanni Abagnale,21.0,198.0,90.0,Italy,M,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxless Pairs,Bronze
159,Jos Luis Abajo Gmez,30.0,194.0,87.0,Spain,M,ESP,2008 Summer,2008,Summer,Beijing,Fencing,"Fencing Men's epee, Individual",Bronze
161,Patimat Abakarova,21.0,165.0,49.0,Azerbaijan,F,AZE,2016 Summer,2016,Summer,Rio de Janeiro,Taekwondo,Taekwondo Women's Flyweight,Bronze
163,Mariya Vasilyevna Abakumova (-Tarabina),22.0,179.0,80.0,Russia,F,RUS,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Javelin Throw,Silver
172,Aleksey Aleksandrovich Abalmasov,28.0,180.0,83.0,Belarus,M,BLR,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
173,Luc Abalo,23.0,182.0,86.0,France,M,FRA,2008 Summer,2008,Summer,Beijing,Handball,Handball Men's Handball,Gold
174,Luc Abalo,27.0,182.0,86.0,France,M,FRA,2012 Summer,2012,Summer,London,Handball,Handball Men's Handball,Gold
175,Luc Abalo,31.0,182.0,86.0,France,M,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Men's Handball,Silver
178,Jouan Patrice Abanda Etong,22.0,185.0,82.0,Cameroon,M,CMR,2000 Summer,2000,Summer,Sydney,Football,Football Men's Football,Gold
182,Jos Mara Abarca Plotas,22.0,186.0,83.0,Spain,M,ESP,1996 Summer,1996,Summer,Atlanta,Water Polo,Water Polo Men's Water Polo,Gold
186,Stephen Anthony Abas,26.0,165.0,55.0,United States,M,USA,2004 Summer,2004,Summer,Athina,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver
188,Alejandro Abascal Garca,28.0,181.0,82.0,Spain,M,ESP,1980 Summer,1980,Summer,Moskva,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Gold
191,Jos Manuel Abascal Gmez,26.0,182.0,67.0,Spain,M,ESP,1984 Summer,1984,Summer,Los Angeles,Athletics,"Athletics Men's 1,500 metres",Bronze
195,Tamila Rashidovna Abasova,21.0,163.0,60.0,Russia,F,RUS,2004 Summer,2004,Summer,Athina,Cycling,Cycling Women's Sprint,Silver
200,Jol Marc Abati,38.0,190.0,85.0,France,M,FRA,2008 Summer,2008,Summer,Beijing,Handball,Handball Men's Handball,Gold
208,Pter Abay,30.0,181.0,79.0,Hungary,M,HUN,1992 Summer,1992,Summer,Barcelona,Fencing,"Fencing Men's Sabre, Team",Silver
210,Oszkr Abay-Nemes,22.0,0.0,0.0,Hungary,M,HUN,1936 Summer,1936,Summer,Berlin,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
214,Silvano Abba,25.0,0.0,0.0,Italy,M,ITA,1936 Summer,1936,Summer,Berlin,Modern Pentathlon,Modern Pentathlon Men's Individual,Bronze
218,Agostino Abbagnale,22.0,188.0,96.0,Italy,M,ITA,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Men's Quadruple Sculls,Gold
219,Agostino Abbagnale,29.0,188.0,96.0,Italy,M,ITA,1996 Summer,1996,Summer,Atlanta,Rowing,Rowing Men's Double Sculls,Gold
220,Agostino Abbagnale,34.0,188.0,96.0,Italy,M,ITA,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Quadruple Sculls,Gold
221,Carmine Abbagnale,22.0,182.0,90.0,Italy,M,ITA,1984 Summer,1984,Summer,Los Angeles,Rowing,Rowing Men's Coxed Pairs,Gold
222,Carmine Abbagnale,26.0,182.0,90.0,Italy,M,ITA,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Men's Coxed Pairs,Gold
223,Carmine Abbagnale,30.0,182.0,90.0,Italy,M,ITA,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Men's Coxed Pairs,Silver
226,Giuseppe Abbagnale,25.0,187.0,97.0,Italy,M,ITA,1984 Summer,1984,Summer,Los Angeles,Rowing,Rowing Men's Coxed Pairs,Gold
227,Giuseppe Abbagnale,29.0,187.0,97.0,Italy,M,ITA,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Men's Coxed Pairs,Gold
228,Giuseppe Abbagnale,33.0,187.0,97.0,Italy,M,ITA,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Men's Coxed Pairs,Silver
268,"George ""Ioannis"" Abbot",0.0,0.0,0.0,Thessalonki-1,M,GRE,1906 Summer,1906,Summer,Athina,Football,Football Men's Football,Bronze
274,"Desmond ""Des"" Abbott",21.0,184.0,87.0,Australia,M,AUS,2008 Summer,2008,Summer,Beijing,Hockey,Hockey Men's Hockey,Bronze
278,Jeremy Abbott,28.0,175.0,70.0,United States,M,USA,2014 Winter,2014,Winter,Sochi,Figure Skating,Figure Skating Mixed Team,Bronze
283,Margaret Ives Abbott (-Dunne),23.0,0.0,0.0,United States,F,USA,1900 Summer,1900,Summer,Paris,Golf,Golf Women's Individual,Gold
286,Monica Cecilia Abbott,23.0,191.0,88.0,United States,F,USA,2008 Summer,2008,Summer,Beijing,Softball,Softball Women's Softball,Silver
311,Nia Nicole Abdallah,20.0,175.0,56.0,United States,F,USA,2004 Summer,2004,Summer,Athina,Taekwondo,Taekwondo Women's Featherweight,Silver
450,Saeid Morad Abdevali,26.0,170.0,80.0,Iran,M,IRI,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Bronze
476,Reema Abdo,21.0,173.0,59.0,Canada,F,CAN,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze
524,Lala Abdul Rashid,38.0,169.0,91.0,Pakistan,M,PAK,1960 Summer,1960,Summer,Roma,Hockey,Hockey Men's Hockey,Gold
525,Muhammad Abdul Rashid,23.0,181.0,72.0,Pakistan,M,PAK,1964 Summer,1964,Summer,Tokyo,Hockey,Hockey Men's Hockey,Silver
550,Zagalav Abdulbekovich Abdulbekov,26.0,160.0,62.0,Soviet Union,M,URS,1972 Summer,1972,Summer,Munich,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold
587,Mukhammad Kadyr Abdullayev,26.0,169.0,63.0,Uzbekistan,M,UZB,2000 Summer,2000,Summer,Sydney,Boxing,Boxing Men's Light-Welterweight,Gold
590,Namiq Yadulla Abdullayev,25.0,167.0,55.0,Azerbaijan,M,AZE,1996 Summer,1996,Summer,Atlanta,Wrestling,"Wrestling Men's Flyweight, Freestyle",Silver
591,Namiq Yadulla Abdullayev,29.0,167.0,55.0,Azerbaijan,M,AZE,2000 Summer,2000,Summer,Sydney,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Gold
609,Julius Shareef Abdur-Rahim,23.0,202.0,104.0,United States,M,USA,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Men's Basketball,Gold
617,Yusup Abdusalomov,30.0,170.0,84.0,Tajikistan,M,TJK,2008 Summer,2008,Summer,Beijing,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Silver
620,Andrey Khakimovich Abduvaliyev,26.0,190.0,125.0,Unified Team,M,EUN,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Hammer Throw,Gold
636,Masashi Abe,28.0,175.0,64.0,Japan,M,JPN,1994 Winter,1994,Winter,Lillehammer,Nordic Combined,Nordic Combined Men's Team,Gold
655,Addis Abebe,21.0,160.0,50.0,Ethiopia,M,ETH,1992 Summer,1992,Summer,Barcelona,Athletics,"Athletics Men's 10,000 metres",Bronze
663,"Max ""Xam"" Abegglen",22.0,0.0,0.0,Switzerland,M,SUI,1924 Summer,1924,Summer,Paris,Football,Football Men's Football,Silver
672,Clarence John Abel,23.0,185.0,102.0,United States,M,USA,1924 Winter,1924,Winter,Chamonix,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
673,George Gordon Abel,35.0,0.0,0.0,Canada,M,CAN,1952 Winter,1952,Winter,Oslo,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
677,Irene Abel,19.0,160.0,48.0,East Germany,F,GDR,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Women's Team All-Around,Silver
684,Jennifer Abel,20.0,160.0,62.0,Canada,F,CAN,2012 Summer,2012,Summer,London,Diving,Diving Women's Synchronized Springboard,Bronze
700,Egil Sten Abel,20.0,0.0,0.0,Fornebo,M,NOR,1920 Summer,1920,Summer,Antwerpen,Sailing,Sailing Mixed 7 metres,Silver
702,Abelardo Fernndez Antua,22.0,0.0,0.0,Spain,M,ESP,1992 Summer,1992,Summer,Barcelona,Football,Football Men's Football,Gold
710,"Louis Grenville ""Lou"" Abell",15.0,0.0,0.0,Vesper Boat Club,M,USA,1900 Summer,1900,Summer,Paris,Rowing,Rowing Men's Coxed Eights,Gold
711,"Louis Grenville ""Lou"" Abell",19.0,0.0,0.0,Vesper Boat Club,M,USA,1904 Summer,1904,Summer,St. Louis,Rowing,Rowing Men's Coxed Eights,Gold
720,Gezahgne Abera,22.0,166.0,58.0,Ethiopia,M,ETH,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Marathon,Gold
727,Nils Georg berg,19.0,181.0,78.0,Sweden,M,SWE,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's Long Jump,Bronze
728,Nils Georg berg,19.0,181.0,78.0,Sweden,M,SWE,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's Triple Jump,Silver
739,Michael Brent Abernathy,22.0,182.0,84.0,United States,M,USA,2000 Summer,2000,Summer,Sydney,Baseball,Baseball Men's Baseball,Gold
740,Moira Abernethy (-Ford),17.0,0.0,0.0,South Africa,F,RSA,1956 Summer,1956,Summer,Melbourne,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
747,Elvan Abeylegesse,25.0,159.0,40.0,Turkey,F,TUR,2008 Summer,2008,Summer,Beijing,Athletics,"Athletics Women's 5,000 metres",Silver
771,Ismail Abilov (-Nizamolu),29.0,172.0,82.0,Bulgaria,M,BUL,1980 Summer,1980,Summer,Moskva,Wrestling,"Wrestling Men's Middleweight, Freestyle",Gold
787,"Edgar Allen ""Ed"" Ablowich",19.0,182.0,68.0,United States,M,USA,1932 Summer,1932,Summer,Los Angeles,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
789,Denis Mikhaylovich Ablyazin,19.0,161.0,62.0,Russia,M,RUS,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Floor Exercise,Bronze
790,Denis Mikhaylovich Ablyazin,19.0,161.0,62.0,Russia,M,RUS,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Horse Vault,Silver
794,Denis Mikhaylovich Ablyazin,24.0,161.0,62.0,Russia,M,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,Silver
796,Denis Mikhaylovich Ablyazin,24.0,161.0,62.0,Russia,M,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Horse Vault,Silver
797,Denis Mikhaylovich Ablyazin,24.0,161.0,62.0,Russia,M,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Rings,Bronze
803,Viktor Andreyevich Aboimov,22.0,190.0,78.0,Soviet Union,M,URS,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
804,Viktor Andreyevich Aboimov,22.0,190.0,78.0,Soviet Union,M,URS,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
814,"Matthew ""Matt"" Abood",30.0,197.0,92.0,Australia,M,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
861,Alaaeldin Ahmad El-Sayyid Abouelkassem,21.0,188.0,87.0,Egypt,M,EGY,2012 Summer,2012,Summer,London,Fencing,"Fencing Men's Foil, Individual",Silver
884,Attila brahm,21.0,192.0,88.0,Hungary,M,HUN,1988 Summer,1988,Summer,Seoul,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Bronze
885,Attila brahm,21.0,192.0,88.0,Hungary,M,HUN,1988 Summer,1988,Summer,Seoul,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
886,Attila brahm,25.0,192.0,88.0,Hungary,M,HUN,1992 Summer,1992,Summer,Barcelona,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
892,Gary Abraham,21.0,175.0,64.0,Great Britain,M,GBR,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze
903,Ara Abrahamian,29.0,191.0,84.0,Sweden,M,SWE,2004 Summer,2004,Summer,Athina,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Silver
915,Harold Maurice Abrahams,24.0,183.0,75.0,Great Britain,M,GBR,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's 100 metres,Gold
917,Harold Maurice Abrahams,24.0,183.0,75.0,Great Britain,M,GBR,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
921,Isak Abrahamsen,21.0,0.0,0.0,Norway,M,NOR,1912 Summer,1912,Summer,Stockholm,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Gold
929,Erik Adolf Efraim Abrahamsson,22.0,172.0,61.0,Sweden,M,SWE,1920 Summer,1920,Summer,Antwerpen,Athletics,Athletics Men's Long Jump,Bronze
935,Karl Gustaf Emanuel Abrahamsson,31.0,0.0,0.0,Sweden,M,SWE,1928 Winter,1928,Winter,Sankt Moritz,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
966,Pavel Sergeyevich Abramov,25.0,198.0,89.0,Russia,M,RUS,2004 Summer,2004,Summer,Athina,Volleyball,Volleyball Men's Volleyball,Bronze
971,Nelli Mikhaylovna Abramova,24.0,171.0,60.0,Soviet Union,F,URS,1964 Summer,1964,Summer,Tokyo,Volleyball,Volleyball Women's Volleyball,Silver
974,Yekaterina Konstantinovna Abramova,23.0,167.0,65.0,Russia,F,RUS,2006 Winter,2006,Winter,Torino,Speed Skating,Speed Skating Women's Team Pursuit (6 laps),Bronze
1029,"Alejandro ""lex"" Abrines Redondo",23.0,198.0,93.0,Spain,M,ESP,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Men's Basketball,Bronze
1035,Svetlana Olegovna Abrosimova,28.0,188.0,77.0,Russia,F,RUS,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Women's Basketball,Bronze
1043,Saypulla Atavovich Absaidov,22.0,168.0,68.0,Soviet Union,M,URS,1980 Summer,1980,Summer,Moskva,Wrestling,"Wrestling Men's Lightweight, Freestyle",Gold
1044,Julien Absalon,23.0,180.0,68.0,France,M,FRA,2004 Summer,2004,Summer,Athina,Cycling,"Cycling Men's Mountainbike, Cross-Country",Gold
1045,Julien Absalon,27.0,180.0,68.0,France,M,FRA,2008 Summer,2008,Summer,Beijing,Cycling,"Cycling Men's Mountainbike, Cross-Country",Gold
1080,Ahmad Abughaush,20.0,178.0,68.0,Jordan,M,JOR,2016 Summer,2016,Summer,Rio de Janeiro,Taekwondo,Taekwondo Men's Featherweight,Gold
1089,Ginko Abukawa-Chiba,26.0,148.0,46.0,Japan,F,JPN,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Women's Team All-Around,Bronze
1105,Aleksandr Veniaminovich Abushakhmetov,25.0,189.0,81.0,Soviet Union,M,URS,1980 Summer,1980,Summer,Moskva,Fencing,"Fencing Men's epee, Team",Bronze
1106,Magomedgasan Mingazhutdinovich Abushev,20.0,170.0,62.0,Soviet Union,M,URS,1980 Summer,1980,Summer,Moskva,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold
1121,Andreea Roxana Acatrinei,16.0,150.0,40.0,Romania,F,ROU,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Team All-Around,Bronze
1126,William Accambray,24.0,194.0,104.0,France,M,FRA,2012 Summer,2012,Summer,London,Handball,Handball Men's Handball,Gold
1133,Paul Accola,20.0,176.0,82.0,Switzerland,M,SUI,1988 Winter,1988,Winter,Calgary,Alpine Skiing,Alpine Skiing Men's Combined,Bronze
1154,Domingo Gmez-Acedo Villanueva,21.0,0.0,0.0,Spain,M,ESP,1920 Summer,1920,Summer,Antwerpen,Football,Football Men's Football,Silver
1162,Anibl Santiago Acevedo,21.0,176.0,67.0,Puerto Rico,M,PUR,1992 Summer,1992,Summer,Barcelona,Boxing,Boxing Men's Welterweight,Bronze
1173,Daniel Aceves Villagrn,19.0,158.0,52.0,Mexico,M,MEX,1984 Summer,1984,Summer,Los Angeles,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",Silver
1191,Joachim Yaw Acheampong,18.0,181.0,73.0,Ghana,M,GHA,1992 Summer,1992,Summer,Barcelona,Football,Football Men's Football,Bronze
1192,Alfred Achermann,24.0,176.0,75.0,Switzerland,M,SUI,1984 Summer,1984,Summer,Los Angeles,Cycling,Cycling Men's 100 kilometres Team Time Trial,Silver
1196,Abdel Hak Achik,29.0,165.0,54.0,Morocco,M,MAR,1988 Summer,1988,Summer,Seoul,Boxing,Boxing Men's Featherweight,Bronze
1198,Mohamed Abdelhak Achik,27.0,174.0,57.0,Morocco,M,MAR,1992 Summer,1992,Summer,Barcelona,Boxing,Boxing Men's Bantamweight,Bronze
1210,Rita Nikolayevna Achkina,30.0,168.0,63.0,Soviet Union,F,URS,1968 Winter,1968,Winter,Grenoble,Cross Country Skiing,Cross Country Skiing Women's 3 x 5 kilometres Relay,Bronze
1227,Chantal Achterberg,27.0,172.0,72.0,Netherlands,F,NED,2012 Summer,2012,Summer,London,Rowing,Rowing Women's Coxed Eights,Bronze
1228,Chantal Achterberg,31.0,172.0,72.0,Netherlands,F,NED,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Quadruple Sculls,Silver
1237,Fausto Alesio Acke (Padovini-),22.0,0.0,0.0,Sweden,M,SWE,1920 Summer,1920,Summer,Antwerpen,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Gold
1238,Paul Douglas Ackerley,27.0,179.0,68.0,New Zealand,M,NZL,1976 Summer,1976,Summer,Montreal,Hockey,Hockey Men's Hockey,Gold
1239,"Charles Edwin ""Charley"" Ackerly",22.0,0.0,0.0,United States,M,USA,1920 Summer,1920,Summer,Antwerpen,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold
1244,Ronny Ackermann,24.0,184.0,69.0,Germany,M,GER,2002 Winter,2002,Winter,Salt Lake City,Nordic Combined,Nordic Combined Men's Team,Silver
1246,Ronny Ackermann,24.0,184.0,69.0,Germany,M,GER,2002 Winter,2002,Winter,Salt Lake City,Nordic Combined,Nordic Combined Men's Sprint,Silver
1247,Ronny Ackermann,28.0,184.0,69.0,Germany,M,GER,2006 Winter,2006,Winter,Torino,Nordic Combined,Nordic Combined Men's Team,Silver
1254,Donat Acklin,26.0,190.0,99.0,Switzerland-1,M,SUI,1992 Winter,1992,Winter,Albertville,Bobsleigh,Bobsleigh Men's Two,Gold
1255,Donat Acklin,26.0,190.0,99.0,Switzerland-1,M,SUI,1992 Winter,1992,Winter,Albertville,Bobsleigh,Bobsleigh Men's Four,Bronze
1256,Donat Acklin,28.0,190.0,99.0,Switzerland-1,M,SUI,1994 Winter,1994,Winter,Lillehammer,Bobsleigh,Bobsleigh Men's Two,Gold
1257,Donat Acklin,28.0,190.0,99.0,Switzerland-1,M,SUI,1994 Winter,1994,Winter,Lillehammer,Bobsleigh,Bobsleigh Men's Four,Silver
1258,Guido Acklin,24.0,200.0,104.0,Switzerland-2,M,SUI,1994 Winter,1994,Winter,Lillehammer,Bobsleigh,Bobsleigh Men's Two,Silver
1276,Lautaro Germn Acosta,20.0,168.0,72.0,Argentina,M,ARG,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football,Gold
1288,Osmay Acosta Duarte,23.0,188.0,91.0,Cuba,M,CUB,2008 Summer,2008,Summer,Beijing,Boxing,Boxing Men's Heavyweight,Bronze
1293,Martn Ral Acosta y Lara Daz,27.0,0.0,0.0,Uruguay,M,URU,1952 Summer,1952,Summer,Helsinki,Basketball,Basketball Men's Basketball,Bronze
1325,Kazimierz Piotr Adach,23.0,162.0,60.0,Poland,M,POL,1980 Summer,1980,Summer,Moskva,Boxing,Boxing Men's Lightweight,Bronze
1345,"Gordon Belgum ""Gordy"" Adam",21.0,0.0,0.0,United States,M,USA,1936 Summer,1936,Summer,Berlin,Rowing,Rowing Men's Coxed Eights,Gold
1352,Ji Adam,25.0,187.0,83.0,Czechoslovakia,M,TCH,1976 Summer,1976,Summer,Montreal,Modern Pentathlon,Modern Pentathlon Men's Team,Silver
1366,"Michael B. ""Mike"" Adam",24.0,175.0,95.0,Canada,M,CAN,2006 Winter,2006,Winter,Torino,Curling,Curling Men's Curling,Gold
1373,Otto Adam,26.0,0.0,0.0,Germany,M,GER,1936 Summer,1936,Summer,Berlin,Fencing,"Fencing Men's Foil, Team",Bronze
1375,Pierre Louis Eugne Adam,24.0,0.0,0.0,France,M,FRA,1948 Summer,1948,Summer,London,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold
1388,Dariusz Adamczuk,22.0,179.0,78.0,Poland,M,POL,1992 Summer,1992,Summer,Barcelona,Football,Football Men's Football,Silver
1450,"Benjamin Willard ""Ben"" Adams",22.0,188.0,78.0,United States,M,USA,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's Standing High Jump,Silver
1451,"Benjamin Willard ""Ben"" Adams",22.0,188.0,78.0,United States,M,USA,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's Standing Long Jump,Bronze
1462,Edgar Holmes Adams,36.0,0.0,0.0,United States,M,USA,1904 Summer,1904,Summer,St. Louis,Swimming,Swimming Men's Plunge For Distance,Silver
1472,Harry Lester Adams,31.0,0.0,0.0,United States,M,USA,1912 Summer,1912,Summer,Stockholm,Shooting,"Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, Team",Gold
1490,Adrian Neil Adams,21.0,178.0,78.0,Great Britain,M,GBR,1980 Summer,1980,Summer,Moskva,Judo,Judo Men's Lightweight,Silver
1491,Adrian Neil Adams,25.0,178.0,78.0,Great Britain,M,GBR,1984 Summer,1984,Summer,Los Angeles,Judo,Judo Men's Half-Middleweight,Silver
1494,Nicola Virginia Adams,29.0,164.0,51.0,Great Britain,F,GBR,2012 Summer,2012,Summer,London,Boxing,Boxing Women's Flyweight,Gold
1495,Nicola Virginia Adams,33.0,164.0,51.0,Great Britain,F,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Women's Flyweight,Gold
1511,Platt Adams,27.0,188.0,78.0,United States,M,USA,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's Standing High Jump,Gold
1512,Platt Adams,27.0,188.0,78.0,United States,M,USA,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's Standing Long Jump,Silver
