,Name,Age,Height,Weight,Team,Sex,NOC,Games,Year,Season,City,Sport,Event,Medal
44584,John (Herbert Crawford-) Copley (Williamson-),73.0,0.0,0.0,Great Britain,M,GBR,1948 Summer,1948,Summer,London,Art Competitions,"Art Competitions Mixed Painting, Graphic Arts",Silver
44597,Robert Victor Joseph Coppe,25.0,0.0,0.0,Belgium,M,BEL,1920 Summer,1920,Summer,Antwerpen,Football,Football Men's Football,Gold
44604,Pierre Coppieters,29.0,0.0,0.0,Belgium,M,BEL,1936 Summer,1936,Summer,Berlin,Water Polo,Water Polo Men's Water Polo,Bronze
44629,"Steven Coppola, Jr.",24.0,203.0,100.0,United States,M,USA,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Coxed Eights,Bronze
44638,Henri Paul Copponex,52.0,178.0,80.0,Ballerina IV,M,SUI,1960 Summer,1960,Summer,Roma,Sailing,Sailing Mixed 5.5 metres,Bronze
44640,Bryan Coquard,20.0,169.0,58.0,France,M,FRA,2012 Summer,2012,Summer,London,Cycling,Cycling Men's Omnium,Silver
44643,Henri Pierre Coquelin de Lisle,23.0,0.0,0.0,France,M,FRA,1924 Summer,1924,Summer,Paris,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Gold
44648,Josip orak,29.0,189.0,100.0,Yugoslavia,M,YUG,1972 Summer,1972,Summer,Munich,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Silver
44656,Juan Antonio Corbaln Alfocea,29.0,182.0,84.0,Spain,M,ESP,1984 Summer,1984,Summer,Los Angeles,Basketball,Basketball Men's Basketball,Silver
44658,Sofia Corban-Banovici,27.0,179.0,78.0,Romania,F,ROU,1984 Summer,1984,Summer,Los Angeles,Rowing,Rowing Women's Coxed Quadruple Sculls,Gold
44667,Walter Samuel Corbett,27.0,0.0,0.0,Great Britain,M,GBR,1908 Summer,1908,Summer,London,Football,Football Men's Football,Gold
44670,"Gregory Dean ""Greg"" Corbitt",20.0,0.0,0.0,Australia,M,AUS,1992 Summer,1992,Summer,Barcelona,Hockey,Hockey Men's Hockey,Silver
44709,Burkhard Cordes,29.0,177.0,75.0,Brazil,M,BRA,1968 Summer,1968,Summer,Mexico City,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Bronze
44713,Kevin Cordes,22.0,196.0,88.0,United States,M,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
44714,Otto Cordes,22.0,0.0,0.0,Germany,M,GER,1928 Summer,1928,Summer,Amsterdam,Water Polo,Water Polo Men's Water Polo,Gold
44715,Otto Cordes,26.0,0.0,0.0,Germany,M,GER,1932 Summer,1932,Summer,Los Angeles,Water Polo,Water Polo Men's Water Polo,Silver
44718,Edera Cordiale-Gentile,28.0,0.0,0.0,Italy,F,ITA,1948 Summer,1948,Summer,London,Athletics,Athletics Women's Discus Throw,Silver
44737,Eugne Louis Auguste Cordonnier,27.0,0.0,0.0,France,M,FRA,1920 Summer,1920,Summer,Antwerpen,Gymnastics,Gymnastics Men's Team All-Around,Bronze
44739,Eugne Louis Auguste Cordonnier,31.0,0.0,0.0,France,M,FRA,1924 Summer,1924,Summer,Paris,Gymnastics,Gymnastics Men's Team All-Around,Silver
44763,Louis Albert Corey,0.0,0.0,0.0,France,M,FRA,1904 Summer,1904,Summer,St. Louis,Athletics,Athletics Men's Marathon,Silver
44764,Louis Albert Corey,0.0,0.0,0.0,Chicago Athletic Association,M,FRA,1904 Summer,1904,Summer,St. Louis,Athletics,"Athletics Men's 4 mile, Team",Silver
44794,Giancarlo Cornaggia-Medici Peterbelli,23.0,170.0,0.0,Italy,M,ITA,1928 Summer,1928,Summer,Amsterdam,Fencing,"Fencing Men's epee, Team",Gold
44795,Giancarlo Cornaggia-Medici Peterbelli,27.0,170.0,0.0,Italy,M,ITA,1932 Summer,1932,Summer,Los Angeles,Fencing,"Fencing Men's epee, Individual",Gold
44796,Giancarlo Cornaggia-Medici Peterbelli,27.0,170.0,0.0,Italy,M,ITA,1932 Summer,1932,Summer,Los Angeles,Fencing,"Fencing Men's epee, Team",Silver
44797,Giancarlo Cornaggia-Medici Peterbelli,31.0,170.0,0.0,Italy,M,ITA,1936 Summer,1936,Summer,Berlin,Fencing,"Fencing Men's epee, Individual",Bronze
44798,Giancarlo Cornaggia-Medici Peterbelli,31.0,170.0,0.0,Italy,M,ITA,1936 Summer,1936,Summer,Berlin,Fencing,"Fencing Men's epee, Team",Gold
44811,"Hendrik Jan Willem ""Henk"" Cornelisse",23.0,178.0,72.0,Netherlands,M,NED,1964 Summer,1964,Summer,Tokyo,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze
44812,Monique Adelinde Cornelissen,33.0,168.0,55.0,Netherlands,F,NED,2012 Summer,2012,Summer,London,Equestrianism,"Equestrianism Mixed Dressage, Individual",Silver
44813,Monique Adelinde Cornelissen,33.0,168.0,55.0,Netherlands,F,NED,2012 Summer,2012,Summer,London,Equestrianism,"Equestrianism Mixed Dressage, Team",Bronze
44817,Charles Cornelius,26.0,170.0,65.0,India,M,IND,1972 Summer,1972,Summer,Munich,Hockey,Hockey Men's Hockey,Bronze
44820,Torleiv Schibsted Corneliussen,21.0,0.0,0.0,Taifun,M,NOR,1912 Summer,1912,Summer,Stockholm,Sailing,Sailing Mixed 8 metres,Gold
44822,Sheila Marie Cornell-Douty,34.0,175.0,81.0,United States,F,USA,1996 Summer,1996,Summer,Atlanta,Softball,Softball Women's Softball,Gold
44823,Sheila Marie Cornell-Douty,38.0,175.0,81.0,United States,F,USA,2000 Summer,2000,Summer,Sydney,Softball,Softball Women's Softball,Gold
44824,mile Franois Cornellie,50.0,0.0,0.0,Edelweiss II-1,M,BEL,1920 Summer,1920,Summer,Antwerpen,Sailing,Sailing Mixed 6 metres,Gold
44825,Florimond Joseph Cornellie,25.0,0.0,0.0,Edelweiss II-1,M,BEL,1920 Summer,1920,Summer,Antwerpen,Sailing,Sailing Mixed 6 metres,Gold
44827,Harry Richard Corner,25.0,0.0,0.0,Devon and Somerset Wanderers,M,GBR,1900 Summer,1900,Summer,Paris,Cricket,Cricket Men's Cricket,Gold
44829,"John Frederick ""Jerry"" Cornes",22.0,182.0,70.0,Great Britain,M,GBR,1932 Summer,1932,Summer,Los Angeles,Athletics,"Athletics Men's 1,500 metres",Silver
44842,George Thomson Cornet,30.0,191.0,98.0,Great Britain,M,GBR,1908 Summer,1908,Summer,London,Water Polo,Water Polo Men's Water Polo,Gold
