State,District,Type_of_Crime,Crime,Count
Nagaland,KIPHIRE,Kidnapping/Abduction,Kidnapping_And_Abduction_Of_Women_And_Girls,543
Nagaland,KIPHIRE,Sexual Crime,Insult_To_Modesty_Of_Women,459
Nagaland,KIPHIRE,Sexual Crime,Assault_On_Women_With_Intent_To_Outrage_Her_Modesty,423
Nagaland,KIPHIRE,Trust/Deception Crime,Criminal_Breach_Of_Trust,399
Nagaland,KIPHIRE,Sexual Crime,Other_Rape,357
Nagaland,KIPHIRE,Family-Related Crime,Dowry_Deaths,186
Nagaland,KIPHIRE,Kidnapping/Abduction,Kidnapping_And_Abduction_Of_Others,183
Nagaland,KIPHIRE,Violent Crime,Culpable_Homicide_Not_Amounting_To_Murder,103
Nagaland,KIPHIRE,Property Crime,Preparation_And_Assembly_For_Dacoity,31
Nagaland,KIPHIRE,Trust/Deception Crime,Counterfieting,26
Nagaland,KIPHIRE,Other,Importation_Of_Girls_From_Foreign_Countries,0
Nagaland,KIPHIRE,Sexual Crime,Rape,0
Nagaland,KIPHIRE,Kidnapping/Abduction,Kidnapping_And_Abduction,0
Nagaland,KIPHIRE,Violent Crime,Murder,0
Nagaland,KIPHIRE,Sexual Crime,Custodial_Rape,0
Nagaland,TUENSANG,Property Crime,Theft,5108
Nagaland,TUENSANG,Violent Crime,Hurt/Grevious_Hurt,4804
Nagaland,TUENSANG,Property Crime,Other_Theft,3487
Nagaland,TUENSANG,Negligence,Causing_Death_By_Negligence,2085
Nagaland,TUENSANG,Family-Related Crime,Cruelty_By_Husband_Or_His_Relatives,2084
Nagaland,TUENSANG,Property Crime,Auto_Theft,1621
Nagaland,TUENSANG,Property Crime,Burglary,1301
Nagaland,TUENSANG,Trust/Deception Crime,Cheating,1275
Nagaland,TUENSANG,Violent Crime,Riots,1132
Nagaland,TUENSANG,Sexual Crime,Assault_On_Women_With_Intent_To_Outrage_Her_Modesty,683
Nagaland,TUENSANG,Violent Crime,Attempt_To_Murder,602
Nagaland,TUENSANG,Sexual Crime,Insult_To_Modesty_Of_Women,582
Nagaland,TUENSANG,Kidnapping/Abduction,Kidnapping_And_Abduction_Of_Women_And_Girls,493
Nagaland,TUENSANG,Trust/Deception Crime,Criminal_Breach_Of_Trust,407
Nagaland,TUENSANG,Sexual Crime,Other_Rape,340
Nagaland,TUENSANG,Family-Related Crime,Dowry_Deaths,208
Nagaland,TUENSANG,Kidnapping/Abduction,Kidnapping_And_Abduction_Of_Others,185
Nagaland,TUENSANG,Violent Crime,Culpable_Homicide_Not_Amounting_To_Murder,89
Nagaland,TUENSANG,Property Crime,Preparation_And_Assembly_For_Dacoity,51
Nagaland,TUENSANG,Trust/Deception Crime,Counterfieting,43
Nagaland,TUENSANG,Violent Crime,Murder,16
Nagaland,TUENSANG,Kidnapping/Abduction,Kidnapping_And_Abduction,1
Nagaland,TUENSANG,Other,Importation_Of_Girls_From_Foreign_Countries,0
Nagaland,TUENSANG,Sexual Crime,Rape,0
Nagaland,TUENSANG,Sexual Crime,Custodial_Rape,0
Delhi,Delhi TOTAL,Property Crime,Theft,34123
Delhi,Delhi TOTAL,Property Crime,Other_Theft,17323
Delhi,Delhi TOTAL,Property Crime,Auto_Theft,16800
Delhi,Delhi TOTAL,Trust/Deception Crime,Cheating,4411
Delhi,Delhi TOTAL,Property Crime,Burglary,4310
Delhi,Delhi TOTAL,Violent Crime,Hurt/Grevious_Hurt,3669
Delhi,Delhi TOTAL,Kidnapping/Abduction,Kidnapping_And_Abduction,2765
Delhi,Delhi TOTAL,Kidnapping/Abduction,Kidnapping_And_Abduction_Of_Women_And_Girls,1959
Delhi,Delhi TOTAL,Family-Related Crime,Cruelty_By_Husband_Or_His_Relatives,1863
