State,District,Type_of_Crime,Crime,Count
Goa,SOUTH GOA,Property Crime,Other_Theft,3159
Goa,SOUTH GOA,Trust/Deception Crime,Cheating,1943
Goa,SOUTH GOA,Property Crime,Burglary,1895
Goa,SOUTH GOA,Property Crime,Auto_Theft,1583
Goa,SOUTH GOA,Family-Related Crime,Cruelty_By_Husband_Or_His_Relatives,1382
Goa,SOUTH GOA,Violent Crime,Riots,1080
Goa,SOUTH GOA,Negligence,Causing_Death_By_Negligence,992
Goa,SOUTH GOA,Sexual Crime,Assault_On_Women_With_Intent_To_Outrage_Her_Modesty,651
Goa,SOUTH GOA,Violent Crime,Attempt_To_Murder,353
Goa,SOUTH GOA,Sexual Crime,Other_Rape,339
Goa,SOUTH GOA,Kidnapping/Abduction,Kidnapping_And_Abduction_Of_Women_And_Girls,259
Goa,SOUTH GOA,Trust/Deception Crime,Criminal_Breach_Of_Trust,235
Goa,SOUTH GOA,Family-Related Crime,Dowry_Deaths,121
Goa,SOUTH GOA,Kidnapping/Abduction,Kidnapping_And_Abduction_Of_Others,52
Goa,SOUTH GOA,Violent Crime,Culpable_Homicide_Not_Amounting_To_Murder,35
Goa,SOUTH GOA,Sexual Crime,Insult_To_Modesty_Of_Women,30
Goa,SOUTH GOA,Property Crime,Preparation_And_Assembly_For_Dacoity,24
Goa,SOUTH GOA,Trust/Deception Crime,Counterfieting,13
Goa,SOUTH GOA,Other,Importation_Of_Girls_From_Foreign_Countries,0
Goa,SOUTH GOA,Sexual Crime,Rape,0
Goa,SOUTH GOA,Sexual Crime,Custodial_Rape,0
Goa,SOUTH GOA,Kidnapping/Abduction,Kidnapping_And_Abduction,0
Goa,SOUTH GOA,Violent Crime,Murder,0
Goa,NORTH GOA,Violent Crime,Hurt/Grevious_Hurt,5279
Goa,NORTH GOA,Property Crime,Theft,4060
Goa,NORTH GOA,Property Crime,Other_Theft,2111
Goa,NORTH GOA,Property Crime,Auto_Theft,1949
Goa,NORTH GOA,Property Crime,Burglary,1718
Goa,NORTH GOA,Trust/Deception Crime,Cheating,1576
Goa,NORTH GOA,Negligence,Causing_Death_By_Negligence,1295
Goa,NORTH GOA,Family-Related Crime,Cruelty_By_Husband_Or_His_Relatives,1126
Goa,NORTH GOA,Violent Crime,Riots,1123
Goa,NORTH GOA,Sexual Crime,Assault_On_Women_With_Intent_To_Outrage_Her_Modesty,759
Goa,NORTH GOA,Violent Crime,Attempt_To_Murder,454
Goa,NORTH GOA,Sexual Crime,Other_Rape,394
Goa,NORTH GOA,Trust/Deception Crime,Criminal_Breach_Of_Trust,316
Goa,NORTH GOA,Kidnapping/Abduction,Kidnapping_And_Abduction_Of_Women_And_Girls,303
Goa,NORTH GOA,Family-Related Crime,Dowry_Deaths,132
Goa,NORTH GOA,Kidnapping/Abduction,Kidnapping_And_Abduction_Of_Others,102
Goa,NORTH GOA,Trust/Deception Crime,Counterfieting,64
Goa,NORTH GOA,Sexual Crime,Insult_To_Modesty_Of_Women,51
Goa,NORTH GOA,Property Crime,Preparation_And_Assembly_For_Dacoity,42
Goa,NORTH GOA,Violent Crime,Culpable_Homicide_Not_Amounting_To_Murder,25
Goa,NORTH GOA,Sexual Crime,Custodial_Rape,0
Goa,NORTH GOA,Other,Importation_Of_Girls_From_Foreign_Countries,0
Goa,NORTH GOA,Sexual Crime,Rape,0
Goa,NORTH GOA,Kidnapping/Abduction,Kidnapping_And_Abduction,0
Goa,NORTH GOA,Violent Crime,Murder,0
