State,District,Type_of_Crime,Crime,Count
A&N Islands,ANDAMAN,Violent Crime,Hurt/Grevious_Hurt,10424
A&N Islands,ANDAMAN,Property Crime,Theft,5680
A&N Islands,ANDAMAN,Property Crime,Auto_Theft,3295
A&N Islands,ANDAMAN,Property Crime,Burglary,2464
A&N Islands,ANDAMAN,Property Crime,Other_Theft,2385
A&N Islands,ANDAMAN,Negligence,Causing_Death_By_Negligence,1091
A&N Islands,ANDAMAN,Family-Related Crime,Cruelty_By_Husband_Or_His_Relatives,1016
A&N Islands,ANDAMAN,Violent Crime,Riots,942
A&N Islands,ANDAMAN,Sexual Crime,Assault_On_Women_With_Intent_To_Outrage_Her_Modesty,860
A&N Islands,ANDAMAN,Sexual Crime,Insult_To_Modesty_Of_Women,841
A&N Islands,ANDAMAN,Sexual Crime,Other_Rape,518
A&N Islands,ANDAMAN,Trust/Deception Crime,Cheating,491
A&N Islands,ANDAMAN,Violent Crime,Attempt_To_Murder,397
A&N Islands,ANDAMAN,Kidnapping/Abduction,Kidnapping_And_Abduction_Of_Women_And_Girls,271
A&N Islands,ANDAMAN,Trust/Deception Crime,Criminal_Breach_Of_Trust,184
A&N Islands,ANDAMAN,Family-Related Crime,Dowry_Deaths,162
A&N Islands,ANDAMAN,Kidnapping/Abduction,Kidnapping_And_Abduction_Of_Others,74
A&N Islands,ANDAMAN,Violent Crime,Culpable_Homicide_Not_Amounting_To_Murder,39
A&N Islands,ANDAMAN,Property Crime,Preparation_And_Assembly_For_Dacoity,32
A&N Islands,ANDAMAN,Trust/Deception Crime,Counterfieting,18
A&N Islands,ANDAMAN,Other,Importation_Of_Girls_From_Foreign_Countries,3
A&N Islands,ANDAMAN,Sexual Crime,Rape,2
A&N Islands,ANDAMAN,Violent Crime,Murder,1
A&N Islands,ANDAMAN,Kidnapping/Abduction,Kidnapping_And_Abduction,1
A&N Islands,ANDAMAN,Sexual Crime,Custodial_Rape,0
A&N Islands,NICOBAR,Property Crime,Theft,3407
A&N Islands,NICOBAR,Violent Crime,Hurt/Grevious_Hurt,2809
A&N Islands,NICOBAR,Property Crime,Other_Theft,2672
A&N Islands,NICOBAR,Property Crime,Burglary,987
A&N Islands,NICOBAR,Violent Crime,Riots,841
A&N Islands,NICOBAR,Property Crime,Auto_Theft,735
A&N Islands,NICOBAR,Family-Related Crime,Cruelty_By_Husband_Or_His_Relatives,584
A&N Islands,NICOBAR,Sexual Crime,Assault_On_Women_With_Intent_To_Outrage_Her_Modesty,502
A&N Islands,NICOBAR,Negligence,Causing_Death_By_Negligence,486
A&N Islands,NICOBAR,Trust/Deception Crime,Cheating,389
A&N Islands,NICOBAR,Kidnapping/Abduction,Kidnapping_And_Abduction_Of_Women_And_Girls,228
A&N Islands,NICOBAR,Sexual Crime,Other_Rape,228
A&N Islands,NICOBAR,Violent Crime,Attempt_To_Murder,190
A&N Islands,NICOBAR,Trust/Deception Crime,Criminal_Breach_Of_Trust,161
A&N Islands,NICOBAR,Sexual Crime,Insult_To_Modesty_Of_Women,63
A&N Islands,NICOBAR,Family-Related Crime,Dowry_Deaths,54
A&N Islands,NICOBAR,Kidnapping/Abduction,Kidnapping_And_Abduction_Of_Others,47
A&N Islands,NICOBAR,Trust/Deception Crime,Counterfieting,29
A&N Islands,NICOBAR,Property Crime,Preparation_And_Assembly_For_Dacoity,28
A&N Islands,NICOBAR,Violent Crime,Culpable_Homicide_Not_Amounting_To_Murder,23
A&N Islands,NICOBAR,Other,Importation_Of_Girls_From_Foreign_Countries,3
A&N Islands,NICOBAR,Sexual Crime,Rape,0
A&N Islands,NICOBAR,Kidnapping/Abduction,Kidnapping_And_Abduction,0
A&N Islands,NICOBAR,Violent Crime,Murder,0
A&N Islands,NICOBAR,Sexual Crime,Custodial_Rape,0
A&N Islands,A and N ISLANDS,Violent Crime,Hurt/Grevious_Hurt,737
A&N Islands,A and N ISLANDS,Family-Related Crime,Cruelty_By_Husband_Or_His_Relatives,545
A&N Islands,A and N ISLANDS,Violent Crime,Riots,521
A&N Islands,A and N ISLANDS,Property Crime,Theft,358
A&N Islands,A and N ISLANDS,Property Crime,Burglary,275
A&N Islands,A and N ISLANDS,Trust/Deception Crime,Cheating,213
A&N Islands,A and N ISLANDS,Property Crime,Other_Theft,180
A&N Islands,A and N ISLANDS,Property Crime,Auto_Theft,178
A&N Islands,A and N ISLANDS,Sexual Crime,Assault_On_Women_With_Intent_To_Outrage_Her_Modesty,141
A&N Islands,A and N ISLANDS,Sexual Crime,Other_Rape,35
A&N Islands,A and N ISLANDS,Sexual Crime,Insult_To_Modesty_Of_Women,33
A&N Islands,A and N ISLANDS,Violent Crime,Attempt_To_Murder,31
A&N Islands,A and N ISLANDS,Trust/Deception Crime,Counterfieting,14
A&N Islands,A and N ISLANDS,Property Crime,Preparation_And_Assembly_For_Dacoity,13
A&N Islands,A and N ISLANDS,Kidnapping/Abduction,Kidnapping_And_Abduction_Of_Women_And_Girls,10
A&N Islands,A and N ISLANDS,Trust/Deception Crime,Criminal_Breach_Of_Trust,9
A&N Islands,A and N ISLANDS,Kidnapping/Abduction,Kidnapping_And_Abduction_Of_Others,7
A&N Islands,A and N ISLANDS,Violent Crime,Culpable_Homicide_Not_Amounting_To_Murder,6
A&N Islands,A and N ISLANDS,Negligence,Causing_Death_By_Negligence,1
A&N Islands,A and N ISLANDS,Sexual Crime,Custodial_Rape,0
A&N Islands,A and N ISLANDS,Sexual Crime,Rape,0
A&N Islands,A and N ISLANDS,Family-Related Crime,Dowry_Deaths,0
A&N Islands,A and N ISLANDS,Other,Importation_Of_Girls_From_Foreign_Countries,0
A&N Islands,A and N ISLANDS,Kidnapping/Abduction,Kidnapping_And_Abduction,0
A&N Islands,A and N ISLANDS,Violent Crime,Murder,0
A&N Islands,SOUTH,Violent Crime,Riots,270
A&N Islands,SOUTH,Violent Crime,Hurt/Grevious_Hurt,246
A&N Islands,SOUTH,Property Crime,Theft,176
A&N Islands,SOUTH,Property Crime,Other_Theft,166
A&N Islands,SOUTH,Property Crime,Burglary,46
A&N Islands,SOUTH,Trust/Deception Crime,Cheating,36
A&N Islands,SOUTH,Sexual Crime,Other_Rape,31
