State,District,Type_of_Crime,Crime,Count
Bihar,BETTIAH,Kidnapping/Abduction,Kidnapping_And_Abduction_Of_Others,212
Bihar,BETTIAH,Sexual Crime,Insult_To_Modesty_Of_Women,180
Bihar,BETTIAH,Family-Related Crime,Dowry_Deaths,132
Bihar,BETTIAH,Property Crime,Preparation_And_Assembly_For_Dacoity,104
Bihar,BETTIAH,Trust/Deception Crime,Counterfieting,101
Bihar,BETTIAH,Violent Crime,Culpable_Homicide_Not_Amounting_To_Murder,9
Bihar,BETTIAH,Sexual Crime,Custodial_Rape,0
Bihar,BETTIAH,Other,Importation_Of_Girls_From_Foreign_Countries,0
Bihar,BETTIAH,Sexual Crime,Rape,0
Bihar,BETTIAH,Kidnapping/Abduction,Kidnapping_And_Abduction,0
Bihar,BETTIAH,Violent Crime,Murder,0
Bihar,GAYA,Property Crime,Theft,8333
Bihar,GAYA,Violent Crime,Hurt/Grevious_Hurt,6634
Bihar,GAYA,Property Crime,Other_Theft,6178
Bihar,GAYA,Property Crime,Burglary,3225
Bihar,GAYA,Violent Crime,Riots,2229
Bihar,GAYA,Property Crime,Auto_Theft,2155
Bihar,GAYA,Negligence,Causing_Death_By_Negligence,1565
Bihar,GAYA,Family-Related Crime,Cruelty_By_Husband_Or_His_Relatives,1334
Bihar,GAYA,Trust/Deception Crime,Cheating,1227
Bihar,GAYA,Sexual Crime,Assault_On_Women_With_Intent_To_Outrage_Her_Modesty,1065
Bihar,GAYA,Violent Crime,Attempt_To_Murder,1007
Bihar,GAYA,Sexual Crime,Other_Rape,482
Bihar,GAYA,Trust/Deception Crime,Criminal_Breach_Of_Trust,465
Bihar,GAYA,Kidnapping/Abduction,Kidnapping_And_Abduction_Of_Women_And_Girls,439
Bihar,GAYA,Kidnapping/Abduction,Kidnapping_And_Abduction_Of_Others,308
Bihar,GAYA,Family-Related Crime,Dowry_Deaths,240
Bihar,GAYA,Violent Crime,Murder,208
Bihar,GAYA,Kidnapping/Abduction,Kidnapping_And_Abduction,208
Bihar,GAYA,Sexual Crime,Insult_To_Modesty_Of_Women,173
Bihar,GAYA,Property Crime,Preparation_And_Assembly_For_Dacoity,119
Bihar,GAYA,Violent Crime,Culpable_Homicide_Not_Amounting_To_Murder,68
Bihar,GAYA,Sexual Crime,Rape,45
